date,day,weekday,region,cases,hospitalized,severes,deaths
2020-03-04,1,Wednesday,Andalucía,13,NaN,1,0
2020-03-04,1,Wednesday,Aragón,0,NaN,0,0
2020-03-04,1,Wednesday,Asturias,2,NaN,1,0
2020-03-04,1,Wednesday,Baleares,5,NaN,0,0
2020-03-04,1,Wednesday,Canarias,7,NaN,0,0
2020-03-04,1,Wednesday,Cantabria,10,NaN,0,0
2020-03-04,1,Wednesday,Castilla La Mancha,12,NaN,1,0
2020-03-04,1,Wednesday,Castilla y León,11,NaN,1,0
2020-03-04,1,Wednesday,Cataluña,15,NaN,0,0
2020-03-04,1,Wednesday,Ceuta,0,NaN,0,0
2020-03-04,1,Wednesday,C. Valenciana,19,NaN,0,1
2020-03-04,1,Wednesday,Extremadura,6,NaN,0,0
2020-03-04,1,Wednesday,Galicia,1,NaN,0,0
2020-03-04,1,Wednesday,Madrid,70,NaN,2,0
2020-03-04,1,Wednesday,Melilla,0,NaN,0,0
2020-03-04,1,Wednesday,Murcia,0,NaN,0,0
2020-03-04,1,Wednesday,Navarra,3,NaN,1,0
2020-03-04,1,Wednesday,País Vasco,17,NaN,0,0
2020-03-04,1,Wednesday,La Rioja,7,NaN,0,0
2020-03-05,2,Thursday,Andalucía,12,NaN,1,0
2020-03-05,2,Thursday,Aragón,1,NaN,1,0
2020-03-05,2,Thursday,Asturias,5,NaN,2,0
2020-03-05,2,Thursday,Baleares,6,NaN,0,0
2020-03-05,2,Thursday,Canarias,8,NaN,0,0
2020-03-05,2,Thursday,Cantabria,10,NaN,0,0
2020-03-05,2,Thursday,Castilla La Mancha,13,NaN,1,0
2020-03-05,2,Thursday,Castilla y León,11,NaN,1,0
2020-03-05,2,Thursday,Cataluña,24,NaN,0,0
2020-03-05,2,Thursday,Ceuta,0,NaN,0,0
2020-03-05,2,Thursday,C. Valenciana,19,NaN,0,1
2020-03-05,2,Thursday,Extremadura,6,NaN,0,0
2020-03-05,2,Thursday,Galicia,1,NaN,0,0
2020-03-05,2,Thursday,Madrid,90,NaN,2,1
2020-03-05,2,Thursday,Melilla,0,NaN,0,0
2020-03-05,2,Thursday,Murcia,0,NaN,0,0
2020-03-05,2,Thursday,Navarra,3,NaN,1,0
2020-03-05,2,Thursday,País Vasco,17,NaN,0,1
2020-03-05,2,Thursday,La Rioja,11,NaN,0,0
2020-03-06,3,Friday,Andalucía,21,NaN,1,0
2020-03-06,3,Friday,Aragón,6,NaN,1,1
2020-03-06,3,Friday,Asturias,5,NaN,2,0
2020-03-06,3,Friday,Baleares,6,NaN,0,0
2020-03-06,3,Friday,Canarias,11,NaN,0,0
2020-03-06,3,Friday,Cantabria,10,NaN,0,0
2020-03-06,3,Friday,Castilla La Mancha,15,NaN,1,0
2020-03-06,3,Friday,Castilla y León,14,NaN,1,0
2020-03-06,3,Friday,Cataluña,24,NaN,0,0
2020-03-06,3,Friday,Ceuta,0,NaN,0,0
2020-03-06,3,Friday,C. Valenciana,30,NaN,1,1
2020-03-06,3,Friday,Extremadura,6,NaN,0,0
2020-03-06,3,Friday,Galicia,3,NaN,0,0
2020-03-06,3,Friday,Madrid,137,NaN,2,2
2020-03-06,3,Friday,Melilla,0,NaN,0,0
2020-03-06,3,Friday,Murcia,0,NaN,0,0
2020-03-06,3,Friday,Navarra,3,NaN,1,0
2020-03-06,3,Friday,País Vasco,45,NaN,1,1
2020-03-06,3,Friday,La Rioja,29,NaN,0,0
2020-03-09,6,Monday,Andalucía,54,NaN,1,0
2020-03-09,6,Monday,Aragón,13,NaN,1,1
2020-03-09,6,Monday,Asturias,7,NaN,2,0
2020-03-09,6,Monday,Baleares,11,NaN,0,0
2020-03-09,6,Monday,Canarias,22,NaN,0,0
2020-03-09,6,Monday,Cantabria,12,NaN,0,0
2020-03-09,6,Monday,Castilla La Mancha,26,NaN,2,0
2020-03-09,6,Monday,Castilla y León,23,NaN,1,0
2020-03-09,6,Monday,Cataluña,75,NaN,0,1
2020-03-09,6,Monday,Ceuta,0,NaN,0,0
2020-03-09,6,Monday,C. Valenciana,37,NaN,1,1
2020-03-09,6,Monday,Extremadura,7,NaN,0,0
2020-03-09,6,Monday,Galicia,6,NaN,0,0
