;Comunidad Autónoma
;Sistema
;Nacional de
;Salud
;Administración
;Penitenciaria
;Ministerio de
;Defensa
;Comunidad
ANDALUCÍA 21.398;641,94
ARAGÓN 5.257;157,71
PPDO. DE ASTURIAS 3.733;111,99
ILLES BALEARS 3.987;119,61
CANARIAS 7.632;228,96
CANTABRIA 2.008;60,24
CASTILLA Y LEÓN 9.481;284,43
CASTILLA-LA MANCHA 5.691;170,73
CATALUÑA 34.482;1034,46
COMUNIDAD VALENCIANA 13.152;394,56
EXTREMADURA 3.879;116,37
GALICIA 9.758;274
MADRID 20.699;700
REGIÓN DE MURCIA 4.847;145,41
C. FORAL DE NAVARRA 2.312;69,36
PAÍS VASCO 7.881;236,43
LA RIOJA 1.048;31,44
CEUTA 252;7,56
MELILLA 168;5,04
TOTAL NACIONAL 157.665;4729,95
